timestamp,uptime_sec,agent_rss_mb,backend_rss_mb,worker_rss_mb_total,history_total_items,llm_circuit
2026-05-14T03:08:21.542237,42714.714105750005,28.453125,45.265625,2.953125,3265,closed
2026-05-14T03:08:31.609954,42724.781906375,28.453125,45.265625,2.953125,3265,closed
2026-05-14T03:08:41.680019,42734.852027667,29.203125,45.46875,3.078125,3265,closed
2026-05-14T03:08:51.769050,42744.941185917,29.359375,104.671875,3.078125,3265,closed
2026-05-14T03:09:01.847717,42755.019683375,21.078125,379.984375,3.09375,3265,closed
2026-05-14T03:09:12.194604,42765.366349334,16.015625,8.484375,2610.15625,3265,closed
2026-05-14T03:09:22.271983,42775.444221125,18.65625,36.75,2.9375,3265,closed
2026-05-14T03:09:33.025760,42786.196904417004,13.5625,32.96875,650.859375,3265,closed
2026-05-14T03:09:43.099807,42796.272376959,17.703125,39.265625,3.03125,3265,closed
2026-05-14T03:09:53.169524,42806.342151917,18.265625,43.15625,3.0625,3265,closed
2026-05-14T03:10:03.242958,42816.415696375,19.796875,43.15625,3.0625,3265,closed
2026-05-14T03:10:13.301583,42826.474384792,23.109375,43.15625,3.0625,3265,closed
2026-05-14T03:10:23.370439,42836.543359917,23.109375,43.59375,3.0625,3265,closed
2026-05-14T03:10:33.440338,42846.613337667004,23.109375,43.609375,3.0625,3265,closed
2026-05-14T03:10:43.509619,42856.682703667,23.109375,43.65625,3.0625,3265,closed
2026-05-14T03:10:53.582115,42866.755284,23.46875,43.90625,3.0625,3265,closed
2026-05-14T03:11:03.647518,42876.820764375,23.46875,43.921875,3.0625,3265,closed
2026-05-14T03:11:13.722045,42886.895390959,23.46875,43.953125,3.0625,3265,closed
2026-05-14T03:11:23.794357,42896.967792792,23.46875,43.953125,3.0625,3265,closed
2026-05-14T03:11:33.858216,42907.031725459005,23.46875,43.953125,3.0625,3265,closed
2026-05-14T03:11:44.095948,42917.269545334,24.140625,103.3125,3.0625,3265,closed
2026-05-14T03:11:54.164009,42927.337693292,24.171875,392.796875,3.0625,3265,closed
2026-05-14T03:12:04.235029,42937.408769417,25.0,392.796875,3.0625,3265,closed
2026-05-14T03:12:14.309158,42947.482991042,25.0,392.796875,3.0625,3265,closed
2026-05-14T03:12:24.377879,42957.5517965,25.0,392.796875,3.0625,3265,closed
2026-05-14T03:12:34.452628,42967.626600375,25.0,392.796875,3.0625,3265,closed
2026-05-14T03:12:44.547595,42977.721594292,24.984375,390.71875,3.0625,3265,closed
2026-05-14T03:12:54.642588,42987.816697792005,24.078125,392.046875,3.0625,3265,closed
2026-05-14T03:13:04.707969,42997.882240750005,25.140625,392.046875,3.0625,3265,closed
2026-05-14T03:13:14.784273,43007.958611042,25.15625,392.046875,3.0625,3265,closed
2026-05-14T03:13:24.860407,43018.034658167,23.828125,391.3125,2.9375,3265,closed
